date,mkd_id,district,mkd_lat,mkd_lon,geo_key,avg_temp_c,min_temp_c,max_temp_c,heating_degree_days,precipitation_mm,relative_humidity,cloudiness_hours,wind_speed_ms,wind_load_subzero,operational_period
2024-01-01,MKD-001,ЦАО,55.7558,37.6176,55.7558_37.6176,-11.54,-16.44,-8.76,29.54,2.65,67.8,14.6,4.45,51.344,Отопительный сезон
2024-01-02,MKD-001,ЦАО,55.7558,37.6176,55.7558_37.6176,-12.24,-17.39,-8.33,30.24,0.7,78.1,12.1,1.94,23.795,Отопительный сезон
2024-01-03,MKD-001,ЦАО,55.7558,37.6176,55.7558_37.6176,-10.12,-13.41,-6.28,28.12,2.56,77.1,10.1,3.28,33.189,Отопительный сезон
2024-01-04,MKD-001,ЦАО,55.7558,37.6176,55.7558_37.6176,-9.0,-14.29,-6.29,27.0,1.32,81.5,11.7,4.45,40.025,Отопительный сезон
2024-01-05,MKD-001,ЦАО,55.7558,37.6176,55.7558_37.6176,-9.59,-15.65,-6.01,27.59,1.11,81.7,10.5,4.24,40.678,Отопительный сезон
2024-01-06,MKD-001,ЦАО,55.7558,37.6176,55.7558_37.6176,-7.7,-13.94,-4.89,25.7,0.14,73.4,12.1,4.64,35.718,Отопительный сезон
2024-01-07,MKD-001,ЦАО,55.7558,37.6176,55.7558_37.6176,-9.35,-14.43,-7.33,27.35,0.05,80.3,9.9,4.42,41.31,Отопительный сезон
2024-01-08,MKD-001,ЦАО,55.7558,37.6176,55.7558_37.6176,-9.58,-13.7,-5.25,27.58,1.57,91.7,11.5,6.47,62.013,Отопительный сезон
2024-01-09,MKD-001,ЦАО,55.7558,37.6176,55.7558_37.6176,-11.69,-18.15,-8.72,29.69,0.13,83.9,11.6,3.71,43.396,Отопительный сезон
2024-01-10,MKD-001,ЦАО,55.7558,37.6176,55.7558_37.6176,-12.31,-17.47,-7.46,30.31,0.28,78.8,17.9,4.58,56.328,Отопительный сезон
2024-01-11,MKD-001,ЦАО,55.7558,37.6176,55.7558_37.6176,-8.47,-13.19,-6.46,26.47,0.71,75.5,16.0,5.76,48.78,Отопительный сезон
2024-01-12,MKD-001,ЦАО,55.7558,37.6176,55.7558_37.6176,-10.67,-16.39,-7.48,28.67,1.54,70.9,8.0,5.11,54.586,Отопительный сезон
2024-01-13,MKD-001,ЦАО,55.7558,37.6176,55.7558_37.6176,-9.58,-14.19,-4.68,27.58,1.94,68.0,7.7,3.84,36.812,Отопительный сезон
2024-01-14,MKD-001,ЦАО,55.7558,37.6176,55.7558_37.6176,-12.9,-19.27,-10.77,30.9,0.35,76.8,13.6,4.76,61.388,Отопительный сезон
2024-01-15,MKD-001,ЦАО,55.7558,37.6176,55.7558_37.6176,-11.53,-16.8,-6.91,29.53,0.97,77.2,21.2,6.09,70.202,Отопительный сезон
2024-01-16,MKD-001,ЦАО,55.7558,37.6176,55.7558_37.6176,-12.85,-18.29,-10.75,30.85,0.18,72.3,15.5,5.37,69.07,Отопительный сезон
2024-01-17,MKD-001,ЦАО,55.7558,37.6176,55.7558_37.6176,-12.12,-15.7,-8.72,30.12,0.2,78.8,16.5,5.49,66.56,Отопительный сезон
2024-01-18,MKD-001,ЦАО,55.7558,37.6176,55.7558_37.6176,-9.63,-14.74,-5.19,27.63,0.86,81.5,6.4,3.63,34.959,Отопительный сезон
2024-01-19,MKD-001,ЦАО,55.7558,37.6176,55.7558_37.6176,-13.24,-16.67,-10.26,31.24,1.39,74.7,12.4,5.13,67.872,Отопительный сезон
2024-01-20,MKD-001,ЦАО,55.7558,37.6176,55.7558_37.6176,-11.85,-18.25,-9.42,29.85,2.02,83.3,13.6,4.69,55.578,Отопительный сезон
2024-01-21,MKD-001,ЦАО,55.7558,37.6176,55.7558_37.6176,-10.82,-16.38,-7.58,28.82,1.06,78.2,16.3,6.44,69.657,Отопительный сезон
2024-01-22,MKD-001,ЦАО,55.7558,37.6176,55.7558_37.6176,-12.09,-15.4,-8.9,30.09,1.98,81.0,7.5,4.3,52.021,Отопительный сезон
2024-01-23,MKD-001,ЦАО,55.7558,37.6176,55.7558_37.6176,-11.49,-14.34,-7.04,29.49,1.51,75.5,11.9,4.85,55.76,Отопительный сезон
2024-01-24,MKD-001,ЦАО,55.7558,37.6176,55.7558_37.6176,-11.46,-14.79,-6.65,29.46,0.89,73.6,8.6,2.24,25.618,Отопительный сезон
2024-01-25,MKD-001,ЦАО,55.7558,37.6176,55.7558_37.6176,-10.52,-16.63,-7.35,28.52,0.14,70.1,14.7,4.84,50.947,Отопительный сезон
2024-01-26,MKD-001,ЦАО,55.7558,37.6176,55.7558_37.6176,-11.8,-15.82,-7.32,29.8,1.76,76.0,14.0,5.27,62.251,Отопительный сезон
2024-01-27,MKD-001,ЦАО,55.7558,37.6176,55.7558_37.6176,-10.76,-14.18,-8.18,28.76,0.23,74.6,9.5,4.15,44.645,Отопительный сезон
2024-01-28,MKD-001,ЦАО,55.7558,37.6176,55.7558_37.6176,-11.09,-14.55,-7.91,29.09,0.82,74.3,11.2,3.12,34.58,Отопительный сезон
2024-01-29,MKD-001,ЦАО,55.7558,37.6176,55.7558_37.6176,-10.54,-15.67,-7.56,28.54,0.3,80.8,11.9,4.36,45.974,Отопительный сезон
2024-01-30,MKD-001,ЦАО,55.7558,37.6176,55.7558_37.6176,-10.84,-16.33,-7.05,28.84,1.74,87.7,11.5,3.84,41.662,Отопительный сезон
2024-01-31,MKD-001,ЦАО,55.7558,37.6176,55.7558_37.6176,-8.69,-14.79,-6.59,26.69,1.39,86.2,13.5,5.77,50.13,Отопительный сезон
2024-02-01,MKD-001,ЦАО,55.7558,37.6176,55.7558_37.6176,-12.17,-17.93,-9.48,30.17,0.73,67.8,11.4,3.23,39.334,Отопительный сезон
2024-02-02,MKD-001,ЦАО,55.7558,37.6176,55.7558_37.6176,-9.37,-12.33,-4.67,27.37,2.06,79.0,10.7,4.32,40.506,Отопительный сезон
2024-02-03,MKD-001,ЦАО,55.7558,37.6176,55.7558_37.6176,-11.76,-17.57,-8.54,29.76,2.13,80.6,12.0,5.69,66.95,Отопительный сезон
2024-02-04,MKD-001,ЦАО,55.7558,37.6176,55.7558_37.6176,-12.58,-16.22,-8.08,30.58,0.56,86.9,4.0,4.29,54.008,Отопительный сезон
2024-02-05,MKD-001,ЦАО,55.7558,37.6176,55.7558_37.6176,-9.31,-15.3,-6.2,27.31,3.05,80.4,10.4,3.43,31.972,Отопительный сезон
2024-02-06,MKD-001,ЦАО,55.7558,37.6176,55.7558_37.6176,-11.77,-14.39,-8.53,29.77,0.09,79.8,12.1,3.84,45.245,Отопительный сезон
2024-02-07,MKD-001,ЦАО,55.7558,37.6176,55.7558_37.6176,-11.67,-17.42,-8.32,29.67,0.7,85.7,17.8,4.06,47.397,Отопительный сезон
